ip,mac
10.100.0.39,
10.100.0.50,
10.100.0.56,
10.100.0.83,
10.100.0.84,
10.100.0.87,
10.100.0.93,
10.100.0.100,
10.100.0.102,
10.100.0.132,
10.100.0.147,
10.100.0.170,
10.100.0.186,
10.100.0.205,
10.100.0.206,
10.100.2.100,
10.100.2.101,bc:ee:7b:74:d5:b0
10.100.2.102,
10.100.2.104,
10.100.2.105,
10.100.2.106,
10.100.2.107,
10.100.2.108,
10.100.2.109,
10.100.2.112,
10.100.2.113,
10.100.2.114,
10.100.2.116,
10.100.2.119,
10.100.2.120,
10.100.2.121,
10.100.2.124,
10.100.2.125,
10.100.2.126,
10.100.2.127,
10.100.2.128,
10.100.2.129,
10.100.2.131,
10.100.2.132,
10.100.2.134,
10.100.2.135,
10.100.2.137,
10.100.2.138,
10.100.2.139,
10.100.2.140,
10.100.2.143,
10.100.2.144,
10.100.2.145,
10.100.2.146,
10.100.2.151,
10.100.2.152,
10.100.2.155,
10.100.2.156,
10.100.2.159,
10.100.2.160,
10.100.2.161,
10.100.2.163,
10.100.2.164,
10.100.2.167,
10.100.2.168,
10.100.2.171,
10.100.2.172,
10.100.2.174,
10.100.2.175,
10.100.2.179,
10.100.2.180,
10.100.2.181,
10.100.2.182,
10.100.2.183,
10.100.2.184,
10.100.2.185,
10.100.2.191,
10.100.2.192,
10.100.2.193,
10.100.2.195,
10.100.2.197,
10.100.2.199,a4:ae:12:f5:64:b0
10.100.2.203,
10.100.2.204,
10.100.2.205,
10.100.2.207,
10.100.2.209,
10.100.2.213,
10.100.2.215,
10.100.2.217,
10.100.2.218,
10.100.2.220,
10.100.2.222,
10.100.2.226,
10.100.2.230,
10.100.2.231,
10.100.2.233,
10.100.2.234,b8:ae:ed:b2:04:34
10.100.2.237,
10.100.2.238,
10.100.2.239,
10.100.2.240,
10.100.2.245,
10.100.2.246,
10.100.2.247,
10.100.2.250,
10.100.2.251,
10.100.2.253,
10.100.10.1,
10.100.10.2,
10.100.10.3,
10.100.10.4,
10.100.10.5,
10.100.10.6,
10.100.10.7,
10.100.10.8,
10.100.10.9,
10.100.10.10,
10.100.10.11,
10.100.10.12,
10.100.10.13,
10.100.10.14,
10.100.10.15,
10.100.10.16,a0:bd:1d:87:f7:73
10.100.10.17,a0:bd:1d:87:f7:71
10.100.10.18,a0:bd:1d:92:37:fb
10.100.10.19,a0:bd:1d:89:5a:1f
10.100.10.20,08:ed:ed:c4:6f:a8
10.100.10.21,08:ed:ed:c4:6f:a4
10.101.0.1,
10.101.0.50,
10.101.0.52,
10.101.0.53,
10.101.0.54,
10.101.0.101,
10.101.0.103,
10.101.0.104,
10.101.0.105,
10.101.0.107,
10.101.0.108,
10.101.0.110,
10.101.0.111,
10.101.0.113,
10.101.0.114,
10.101.0.115,
10.101.0.116,
10.101.0.117,
10.101.0.118,
10.101.0.119,
10.101.0.121,
10.101.0.123,
10.101.0.124,
10.101.0.126,
10.102.0.1,
10.102.0.50,
10.102.0.51,
10.102.0.100,
10.102.0.107,
10.102.0.110,
10.102.0.112,
10.102.0.113,
10.102.0.116,
10.102.0.117,
10.102.0.118,
10.102.0.119,
10.102.0.124,
10.102.0.125,
10.103.0.1,
10.103.0.50,
10.104.0.1,
10.104.0.100,
10.104.0.102,
10.104.0.104,
10.104.0.105,
10.104.0.107,
10.104.0.108,
10.104.0.111,
10.105.0.1,
10.105.0.50,
10.105.0.51,
10.105.0.52,
10.105.0.100,
10.105.0.101,
10.105.0.102,
10.105.0.105,
10.105.0.106,
10.105.0.107,
10.105.0.108,
10.105.0.109,
10.105.0.111,
10.105.0.113,
10.105.0.114,
10.105.0.117,
10.105.0.119,
10.106.0.1,
10.106.0.11,
10.106.0.12,
10.106.0.13,
10.106.0.50,
10.107.0.1,
10.107.0.50,
10.107.0.51,
10.107.0.53,
10.107.0.101,
10.107.0.104,
10.107.0.113,
10.107.0.115,
10.107.0.116,
10.107.0.118,
10.107.0.119,
10.107.0.121,
10.108.0.1,
10.108.0.2,
10.108.0.3,
10.108.0.4,
10.108.0.5,
10.108.0.6,
10.108.0.7,
10.108.0.8,
10.108.0.9,
10.108.0.10,
10.108.0.11,
10.108.0.12,
10.108.0.13,
10.108.0.14,
10.108.0.15,
10.108.0.16,
10.108.0.17,
10.108.0.18,
10.108.0.19,
10.108.0.20,
10.108.0.21,
10.108.0.22,
10.108.0.23,
10.108.0.24,
10.108.0.25,
10.108.0.26,
10.108.0.27,
10.108.0.28,
10.108.0.29,
10.108.0.30,
10.109.0.1,
10.109.0.50,
10.109.0.51,
10.109.0.102,
10.109.0.106,
10.110.0.1,
10.110.0.50,
10.111.0.1,
10.111.0.50,
10.111.0.51,
10.111.0.52,
10.111.0.53,
10.111.0.100,
10.111.0.101,
10.111.0.102,
10.111.0.103,
10.111.0.104,
10.112.0.1,
10.112.0.50,
10.113.0.1,
10.113.0.50,
10.113.0.51,
10.113.0.52,
10.113.0.102,
10.113.0.103,
10.113.0.104,
10.113.0.105,
10.114.0.1,
10.114.0.50,
10.114.0.51,
10.114.0.100,
10.114.0.101,
10.114.0.102,
10.114.0.103,
10.114.0.104,
10.114.0.105,
10.114.0.106,
10.115.0.1,
10.115.0.47,
10.115.0.48,
10.115.0.49,
10.115.0.50,
10.115.0.51,
10.115.0.52,
10.115.0.54,
10.115.0.101,
10.115.0.102,
10.115.0.104,
10.115.0.105,
10.115.0.108,
10.115.0.109,
10.115.0.110,
10.115.0.112,
10.115.0.113,
10.115.0.116,
10.115.0.117,
10.115.0.119,
10.115.0.121,
10.115.0.122,
10.115.0.146,
10.115.0.147,
10.116.0.1,
10.116.0.50,
10.116.0.52,
10.116.0.57,
10.116.0.58,
10.116.0.61,
10.116.0.64,
10.116.0.65,
10.116.0.69,
10.116.0.70,
10.116.0.71,
10.116.0.72,
10.116.0.73,
10.116.0.75,
10.116.0.76,
10.116.0.101,
10.116.0.103,
10.116.0.106,
10.116.0.108,
10.116.0.113,
10.116.0.114,
10.116.0.115,
10.116.0.116,
10.116.0.118,
10.116.0.119,
10.116.0.121,
10.116.0.122,
10.116.0.123,
10.116.0.125,
10.116.0.128,
10.116.0.129,
10.116.0.131,
10.116.0.132,
10.116.0.136,
10.116.0.137,
10.116.0.139,
10.116.0.140,
10.116.0.141,
