ip,mac
10.100.0.39,00:17:c8:cd:15:6e
10.100.0.50,
10.100.0.56,74:56:3c:ab:0f:c6
10.100.0.83,00:17:c8:cd:15:a4
10.100.0.84,74:56:3c:ab:10:01
10.100.0.87,98:f2:b3:3f:4a:ec
10.100.0.93,00:17:c8:52:26:f2
10.100.0.100,
10.100.0.102,00:17:c8:cd:15:85
10.100.0.132,00:17:c8:cc:d9:02
10.100.0.147,20:67:7c:e2:26:88
10.100.0.170,00:17:c8:cd:15:80
10.100.0.186,00:17:c8:cb:86:c3
10.100.0.205,00:17:c8:52:19:30
10.100.0.206,00:17:c8:e4:6d:3f
10.100.2.100,00:d8:61:cb:a8:d6
10.100.2.101,
10.100.2.102,a4:ae:12:f5:64:59
10.100.2.104,5c:60:ba:31:aa:4c
10.100.2.105,
10.100.2.106,5c:60:ba:31:af:13
10.100.2.107,b0:22:7a:29:ca:3b
10.100.2.108,
10.100.2.109,e0:73:e7:11:47:5d
10.100.2.112,d8:5e:d3:1b:64:1f
10.100.2.113,30:9c:23:87:44:10
10.100.2.114,74:56:3c:ab:0f:fc
10.100.2.116,00:d8:61:cb:8f:13
10.100.2.119,
10.100.2.120,bc:24:11:3c:99:18
10.100.2.121,bc:24:11:2f:d4:51
10.100.2.124,1c:69:7a:1c:0d:b2
10.100.2.125,bc:24:11:17:70:0a
10.100.2.126,5c:60:ba:31:a9:ef
10.100.2.127,
10.100.2.128,00:17:c8:cb:86:c2
10.100.2.129,
10.100.2.131,8c:3b:4a:33:d5:88
10.100.2.132,
10.100.2.134,b0:22:7a:2a:bb:f9
10.100.2.135,e0:73:e7:12:29:18
10.100.2.137,c8:5a:cf:bf:7a:08
10.100.2.138,d0:ad:08:58:1c:d8
10.100.2.139,d0:ad:08:59:84:ca
10.100.2.140,
10.100.2.143,78:7b:8a:ce:80:58
10.100.2.144,e0:73:e7:12:2b:08
10.100.2.145,18:c0:4d:c6:21:c6
10.100.2.146,30:8d:99:2e:1b:47
10.100.2.151,bc:24:11:57:d3:85
10.100.2.152,
10.100.2.155,bc:24:11:a3:d0:76
10.100.2.156,
10.100.2.159,f4:6b:8c:62:1e:35
10.100.2.160,b0:22:7a:29:ca:29
10.100.2.161,30:9c:23:87:44:0b
10.100.2.163,e0:73:e7:12:28:d3
10.100.2.164,
10.100.2.167,b0:83:fe:62:8f:67
10.100.2.168,b8:ae:ed:fb:78:4f
10.100.2.171,40:c2:ba:6e:48:d2
10.100.2.172,bc:24:11:49:7c:f9
10.100.2.174,
10.100.2.175,e4:e7:49:24:a3:33
10.100.2.179,
10.100.2.180,78:7b:8a:c5:f7:ac
10.100.2.181,b0:22:7a:29:c8:80
10.100.2.182,
10.100.2.183,00:d8:61:cb:8e:1d
10.100.2.184,8c:3b:4a:33:d8:58
10.100.2.185,00:17:c8:cd:15:71
10.100.2.191,a4:60:11:e4:97:10
10.100.2.192,64:51:06:0e:73:14
10.100.2.193,58:20:b1:07:e1:a4
10.100.2.195,9c:5c:8e:d3:57:c9
10.100.2.197,5c:60:ba:32:ad:04
10.100.2.199,a4:ae:12:f5:64:b0
10.100.2.203,c8:5a:cf:bf:75:c2
10.100.2.204,74:56:3c:ab:10:26
10.100.2.205,74:56:3c:ab:10:17
10.100.2.207,00:d8:61:5d:01:63
10.100.2.209,08:8f:c3:b8:0b:0b
10.100.2.213,e0:73:e7:12:26:2c
10.100.2.215,c8:5a:cf:bf:78:1a
10.100.2.217,d8:5e:d3:1b:5f:84
10.100.2.218,
10.100.2.220,00:d8:61:5c:f6:e7
10.100.2.222,
10.100.2.226,a4:ae:12:f5:67:2f
10.100.2.230,28:29:86:6f:5b:a7
10.100.2.231,bc:24:11:71:93:b2
10.100.2.233,00:d8:61:5d:07:b8
10.100.2.234,b8:ae:ed:b2:04:34
10.100.2.237,00:17:61:12:94:1d
10.100.2.238,00:17:61:12:94:4e
10.100.2.239,bc:24:11:25:fe:db
10.100.2.240,c8:5a:cf:bf:76:30
10.100.2.245,
10.100.2.246,00:17:c8:c5:9c:86
10.100.2.247,
10.100.2.250,24:fb:e3:60:d6:44
10.100.2.251,64:51:06:0e:7e:a4
10.100.2.253,a4:ae:12:f5:64:b7
10.100.10.1,e0:50:8b:b6:0a:ea
10.100.10.2,e0:50:8b:b6:0b:1f
10.100.10.3,e0:50:8b:b6:0a:d8
10.100.10.4,e0:50:8b:b6:0a:be
10.100.10.5,e0:50:8b:b6:0b:27
10.100.10.6,e0:50:8b:b6:0b:2a
10.100.10.7,e0:50:8b:b6:0b:2d
10.100.10.8,e0:50:8b:b6:0b:36
10.100.10.9,e0:50:8b:b6:0a:d6
10.100.10.10,e0:50:8b:b6:0a:fd
10.100.10.11,e0:50:8b:b6:0a:a8
10.100.10.12,e0:50:8b:b6:0b:1d
10.100.10.13,e0:50:8b:b6:0a:e8
10.100.10.14,e0:50:8b:b6:0b:25
10.100.10.15,e0:50:8b:b6:0b:24
10.100.10.16,a0:bd:1d:87:f7:73
10.100.10.17,a0:bd:1d:87:f7:71
10.100.10.18,a0:bd:1d:92:37:fb
10.100.10.19,a0:bd:1d:89:5a:1f
10.100.10.20,08:ed:ed:c4:6f:a8
10.100.10.21,08:ed:ed:c4:6f:a4
10.101.0.1,
10.101.0.50,
10.101.0.52,
10.101.0.53,
10.101.0.54,
10.101.0.101,
10.101.0.103,
10.101.0.104,
10.101.0.105,
10.101.0.107,
10.101.0.108,
10.101.0.110,
10.101.0.111,
10.101.0.113,
10.101.0.114,
10.101.0.115,
10.101.0.116,
10.101.0.117,
10.101.0.118,
10.101.0.119,
10.101.0.121,
10.101.0.123,
10.101.0.124,
10.101.0.126,
10.102.0.1,
10.102.0.50,
10.102.0.51,
10.102.0.100,
10.102.0.107,
10.102.0.110,
10.102.0.112,
10.102.0.113,
10.102.0.116,
10.102.0.117,
10.102.0.118,
10.102.0.119,
10.102.0.124,
10.102.0.125,
10.103.0.1,
10.103.0.50,
10.104.0.1,
10.104.0.100,
10.104.0.102,
10.104.0.104,
10.104.0.105,
10.104.0.107,
10.104.0.108,
10.104.0.111,
10.105.0.1,
10.105.0.50,
10.105.0.51,
10.105.0.52,
10.105.0.100,
10.105.0.101,
10.105.0.102,
10.105.0.105,
10.105.0.106,
10.105.0.107,
10.105.0.108,
10.105.0.109,
10.105.0.111,
10.105.0.113,
10.105.0.114,
10.105.0.117,
10.105.0.119,
10.106.0.1,
10.106.0.11,
10.106.0.12,
10.106.0.13,
10.106.0.50,
10.106.50,
10.107.0.1,
10.107.0.50,
10.107.0.51,
10.107.0.53,
10.107.0.101,
10.107.0.104,
10.107.0.113,
10.107.0.115,
10.107.0.116,
10.107.0.118,
10.107.0.119,
10.107.0.121,
10.108.0.1,
10.108.0.2,
10.108.0.3,
10.108.0.4,
10.108.0.5,
10.108.0.6,
10.108.0.7,
10.108.0.8,
10.108.0.9,
10.108.0.10,
10.108.0.11,
10.108.0.12,
10.108.0.13,
10.108.0.14,
10.108.0.15,
10.108.0.16,
10.108.0.17,
10.108.0.18,
10.108.0.19,
10.108.0.20,
10.108.0.21,
10.108.0.22,
10.108.0.23,
10.108.0.24,
10.108.0.25,
10.108.0.26,
10.108.0.27,
10.108.0.28,
10.108.0.29,
10.108.0.30,
10.109.0.1,
10.109.0.50,
10.109.0.51,
10.109.0.102,
10.109.0.106,
10.110.0.1,
10.110.0.50,
10.111.0.1,
10.111.0.50,
10.111.0.51,
10.111.0.52,
10.111.0.53,
10.111.0.100,
10.111.0.101,
10.111.0.102,
10.111.0.103,
10.111.0.104,
10.112.0.1,
10.112.0.50,
10.113.0.1,
10.113.0.50,
10.113.0.51,
10.113.0.52,
10.113.0.102,
10.113.0.103,
10.113.0.104,
10.113.0.105,
10.114.0.1,
10.114.0.50,
10.114.0.51,
10.114.0.100,
10.114.0.101,
10.114.0.102,
10.114.0.103,
10.114.0.104,
10.114.0.105,
10.114.0.106,
10.115.0.1,
10.115.0.47,
10.115.0.48,
10.115.0.49,
10.115.0.50,
10.115.0.51,
10.115.0.52,
10.115.0.54,
10.115.0.101,
10.115.0.102,
10.115.0.104,
10.115.0.105,
10.115.0.108,
10.115.0.109,
10.115.0.110,
10.115.0.112,
10.115.0.113,
10.115.0.116,
10.115.0.117,
10.115.0.119,
10.115.0.121,
10.115.0.122,
10.115.0.146,
10.115.0.147,
10.116.0.1,
10.116.0.50,
10.116.0.52,
10.116.0.57,
10.116.0.58,
10.116.0.61,
10.116.0.64,
10.116.0.65,
10.116.0.69,
10.116.0.70,
10.116.0.71,
10.116.0.72,
10.116.0.73,
10.116.0.75,
10.116.0.76,
10.116.0.101,
10.116.0.103,
10.116.0.106,
10.116.0.108,
10.116.0.113,
10.116.0.114,
10.116.0.115,
10.116.0.116,
10.116.0.118,
10.116.0.119,
10.116.0.121,
10.116.0.122,
10.116.0.123,
10.116.0.125,
10.116.0.128,
10.116.0.129,
10.116.0.131,
10.116.0.132,
10.116.0.136,
10.116.0.137,
10.116.0.139,
10.116.0.140,
10.116.0.141,
10.116.0.142,
10.116.0.143,
10.116.0.144,
10.116.0.147,
10.116.0.151,
10.116.0.152,
10.116.0.158,
10.116.0.173,
10.116.0.223,
10.116.0.249,
10.116.0.250,
10.117.0.1,
10.118.0.1,
10.118.0.50,
10.118.0.51,
10.118.0.52,
10.118.0.53,
10.118.0.54,
10.118.0.55,
10.118.0.56,
10.118.0.100,
10.118.0.101,
10.119.0.1,
10.119.0.50,
10.119.0.51,
10.119.0.53,
10.119.0.54,
10.119.0.55,
10.119.0.100,
10.119.0.103,
10.119.0.104,
10.119.0.105,
10.119.0.108,
10.119.0.109,
10.119.0.110,
10.119.0.111,
10.119.0.113,
10.119.0.114,
10.119.0.115,
10.119.0.116,
10.119.0.118,
10.119.0.119,
10.119.0.120,
10.119.0.121,
10.119.0.122,
10.119.0.124,
10.119.0.125,
10.119.0.127,
10.119.0.128,
10.119.0.130,
10.119.0.131,
